clean_text,vosk_text,intent,changed
could you please send up some extra blankets,could you please send up some extra blankets,blanket_request,False
we are cold can we get another blanket,we are cold can we get another blanket,blanket_request,False
bring me a warm blanket as soon as possible,bring me a warm blanket as soon as possible,blanket_request,False
id like to request some extra blankets for my room,id like to request some extra blankets for my room,blanket_request,False
im very cold please send blankets immediately,i'm very cold please send blankets immediately,blanket_request,True
can you send a couple of blankets up,can you send a couple of blankets up,blanket_request,False
the temperature is low can you bring blankets,the temperature is low can you bring blankets,blanket_request,False
i need warmer blankets for tonight please,i need wanna blankets for tonight peace,blanket_request,True
could you deliver some extra blankets to my room,could you deliver some extra blankets to my room,blanket_request,False
we dont have enough blankets its freezing,we don't have enough blankets it's freezing,blanket_request,True
send up two blankets right away,send up to blankets right away,blanket_request,True
can i get a heavier blanket,can i get a heavy blanket,blanket_request,True
the duvet is too thin can you bring another one,the do is to tin can you bring another one,blanket_request,True
im shivering can someone bring me blankets,i'm shivering can someone bring me blankets,blanket_request,True
could we have some warmer blankets please,could we have some warm blankets peace,blanket_request,True
bring extra blankets to room three oh five,bring extra blankets to room three or five,blanket_request,True
i need more blankets the room is too cold,i need more blankets the room is too cold,blanket_request,False
can you send blankets to my room right now,can you send blankets to my room right now,blanket_request,False
wed like some additional blankets for warmth,like some additional blankets for warmth,blanket_request,True
the blankets here arent warm enough,the blankets here aren't warm enough,blanket_request,True
send me some thick blankets please,send me some thick blanket species,blanket_request,True
can i request extra blankets for tonight,can i request extra blankets for tonight,blanket_request,False
its really chilly in my room i need a blanket,it's really chilly in my room i need a blanket,blanket_request,True
could you bring me two more blankets,could you bring me to more blankets,blanket_request,True
i would appreciate some warmer blankets in my room,i would appreciate some warm blankets in my room,blanket_request,True
the room temperature is cold send blankets,the room temperature is cold cent blankets,blanket_request,True
can you provide more blankets for our room,can you provide more blankets for a room,blanket_request,True
we need heavier blankets its too cold to sleep,we need heavier blankets it's too cold to sleep,blanket_request,True
bring some blankets to the room immediately,bring some blankets to the room immediately,blanket_request,False
id like to request additional blankets please,id like to request additional blankets please,blanket_request,False
the duvet isnt warm enough can you bring another,the doing isn't warm enough can you bring another,blanket_request,True
can someone send me a blanket right away,can someone send me a blanket right away,blanket_request,False
im cold can you get me some blankets,i'm cold can you get me some blankets,blanket_request,True
could you deliver extra blankets up here,could you deliver extra blankets up here,blanket_request,False
the blanket provided is not warm enough,the blanket provided is not warm enough,blanket_request,False
send more blankets to my room please,send more blankets to my room peace,blanket_request,True
i need thicker blankets for tonight,i need thicker blankets for tonight,blanket_request,False
can you bring warmer bedding or extra blankets,can you bring warmer bedding extra blankets,blanket_request,True
id like some additional blankets for the bed,like some additional blankets for the bed,blanket_request,True
the room lacks proper blankets can you help,the room lacks proper blankets can you help,blanket_request,False
we need more blankets its freezing in here,we need more blankets it's freezing in here,blanket_request,True
could you please bring some heavy blankets,could you please bring some heavy blankets,blanket_request,False
send up a couple of extra blankets,send up a couple of extra blankets,blanket_request,False
im too cold please bring me blankets,i'm too cold please bring me blankets,blanket_request,True
can i get some thicker blankets for warmth,can i get some thicker blankets for warmth,blanket_request,False
the provided blankets arent adequate can you bring more,the provided blankets aren't adequate can you bring more,blanket_request,True
extra blanket please,extra blanket peace,blanket_request,True
the room temperature is too cold i need a blanket,the room temperature is too cold i need a blanket,blanket_request,False
i would like another blanket for my bed,i would like another blanket for my bed,blanket_request,False
send some warm blankets to room four twenty,sent some warm blankets to room for twenty,blanket_request,True
blankets please my room is freezing,blankets please my room is freezing,blanket_request,False
could i get a few extra blankets,could i get a few extra blankets,blanket_request,False
we are cold can you help,we are cold can you help,blanket_request,False
bring a duvet to my room right away,bring a do way to my room right away,blanket_request,True
the ac is making it too cold i need blankets,d e c is making it too cold i mean blankets,blanket_request,True
can you send up another blanket,can you send up another blanket,blanket_request,False
im really cold can i get a blanket,i'm really cold can i get a blanket,blanket_request,True
extra duvets for my room please,extra do ways for my room peace,blanket_request,True
would you be able to bring me a warm blanket,would you be able to bring me a warm blanket,blanket_request,False
the room is chilly send a blanket,the room this chile send a blanket,blanket_request,True
i need blankets its very cold in here,i need blankets it's very cold in here,blanket_request,True
could you please bring some extra blankets,could you please bring some extra blankets,blanket_request,False
send me two more blankets right now,send me to more blankets right now,blanket_request,True
can i request some additional blankets,can i request some additional blankets,blanket_request,False
blankets my room is freezing cold,blankets my room is freezing cold,blanket_request,False
we need warmer blankets in this room,we need warmer blankets in this room,blanket_request,False
bring extra blankets immediately please,bring extra blankets immediately please,blanket_request,False
the temperature is too low i need a blanket,the temperature is too low i need a blanket,blanket_request,False
can you get me another duvet,jan you get me another do way,blanket_request,True
im cold please send a blanket,i'm cold please send a blanket,blanket_request,True
extra bedding and blankets please,extra bedding and blankets peace,blanket_request,True
could you send up some warm blankets,could you send up some warm blankets,blanket_request,False
the room feels really cold send blankets,the room feels really cold send blankets,blanket_request,False
i would like two extra blankets,i would like to extra blankets,blanket_request,True
blanket request for my room,blanket request for my room,blanket_request,False
can we get more blankets delivered,we get more blankets delivered,blanket_request,True
send a duvet up to my room,fender do doing up to my room,blanket_request,True
the heating is not enough i need blankets,the heating is not enough i need blankets,blanket_request,False
id like another blanket in my bed,in light to another blanket in my bed,blanket_request,True
more blankets please its too cold,more blankets please it's too cold,blanket_request,True
can you bring warmer blankets,can you bring warmer blankets,blanket_request,False
i need at least two more blankets,i need at least two more blankets,blanket_request,False
the room is too cold without blankets,the room is too cold without blankets,blanket_request,False
could you provide some extra blankets,could you provide some extra blankets,blanket_request,False
send blankets to my room immediately,blankets to my room immediately,blanket_request,True
im shivering can you send a blanket,i'm shivering can you send a blanket,blanket_request,True
blankets needed for tonight please,blankets needed for tonight please,blanket_request,False
would you send me another duvet,would you send me another do way,blanket_request,True
the cold is unbearable send blankets,the cold is unbearable cent blankets,blanket_request,True
extra blankets and pillows for my room,extra blankets and pillows for my room,blanket_request,False
can i get warmer blankets delivered,can i get warmer blankets delivered,blanket_request,False
more bedding please the room is cold,more bedding please the room is cold,blanket_request,False
i need additional blankets right away,i need additional blankets right away,blanket_request,False
send some extra blankets to my room,sent some extra blankets to my room,blanket_request,True
the room temperature is too low for comfort,the room temperature is too low for comfort,blanket_request,False
can you bring me another warm duvet,can you bring me another way,blanket_request,True
its freezing in here can you bring blankets,it's freezing in here can you bring blankets,blanket_request,True
i would like some extra blankets delivered to my room,i would like some extra blankets delivered to my room,blanket_request,False
can you send up a couple of blankets,can you send up a couple of blankets,blanket_request,False
the room temperature is too cold i need blankets,the room temperature is too cold i mean blankets,blanket_request,True
could you please bring me a warm duvet,could you please bring me a warm do way,blanket_request,True
we are very cold can you bring more blankets,we are very cold can you bring more blankets,blanket_request,False
id like an additional blanket for my bed,like an additional blanket for my bed,blanket_request,True
send some blankets to my room right away,sent some blankets to my room right away,blanket_request,True
its really cold in my room please bring blankets,it's really cold in my room please bring blankets,blanket_request,True
can i have another blanket to stay warm,can i have another blanket to stay warm,blanket_request,False
could you deliver some extra blankets tonight,could you deliver some extra blankets tonight,blanket_request,False
i need blankets the room is way too cold,i need blankets the room is way too cold,blanket_request,False
can you bring me a heavier blanket please,can you bring me a heavier blanket please,blanket_request,False
the heating isnt working i need more blankets,the heating isn't working i need more blankets,blanket_request,True
could you send up two or three blankets,could you send up to a three blankets,blanket_request,True
im freezing can you bring me a blanket right now,i'm freezing can you bring me a blanket right now,blanket_request,True
we only have one blanket and need more,we only have one blanket and need more,blanket_request,False
can you bring some blankets to the room,can you bring some blankets to the room,blanket_request,False
id appreciate some extra blankets for tonight,appreciate some extra blankets for tonight,blanket_request,True
the room feels very cold do you have more blankets,the room feels very cold do you have more blankets,blanket_request,False
can you send a warm duvet to my room,can you send a warm do way to my room,blanket_request,True
i need more blankets this room is too chilly,i need more blankets this room is too chilly,blanket_request,False
could you please bring extra blankets as soon as possible,could you please bring extra blankets as soon as possible,blanket_request,False
send blankets to my room immediately please,send blankets to my room immediately peace,blanket_request,True
can we get some additional blankets delivered,yummy get some additional blankets delivered,blanket_request,True
the ac seems too strong can you bring blankets,d e c seems too strong can you bring blankets,blanket_request,True
can you bring me another blanket i am cold,jan you bring me another blanket i'm cold,blanket_request,True
the temperature in my room is freezing,the temperature in my room is freezing,blanket_request,False
could you send up some blankets right away,could you send up some blankets right away,blanket_request,False
i would appreciate some extra blankets tonight,i would appreciate some extra blankets tonight,blanket_request,False
can i get a few more blankets delivered,can i get a few more blankets delivered,blanket_request,False
the room is too cold and i need blankets,the room is too cold and i mean blankets,blanket_request,True
send me some blankets i am freezing,send me some blankets i'm freezing,blanket_request,True
can you bring another blanket and a warmer duvet,can you bring another blanket and a warmer do way,blanket_request,True
i need some blankets the heating is not working,i need some blankets the heating is not working,blanket_request,False
could you send some extra blankets to room number,could you send some extra blankets to room number,blanket_request,False
can you deliver blankets to my room as soon as possible,can you deliver blankets to my room as soon as possible,blanket_request,False
the room is chilly and i need more blankets,the room is chile and i need more blankets,blanket_request,True
id like some blankets brought to my room,like some blankets brought to my room,blanket_request,True
can you bring me a second blanket please,can you bring me a second blanket peace,blanket_request,True
we are cold and need extra blankets right now,we are cold and need extra blankets right now,blanket_request,False
the heating in my room is broken send blankets,the heating in my room is broken cent blankets,blanket_request,True
i would like extra blankets for tonight please,i would like extra blankets for tonight please,blanket_request,False
can you send blankets up to my room,can you send blankets up to my room,blanket_request,False
the room temperature is freezing send help with blankets,the room temperature is freezing send help with blankets,blanket_request,False
could you bring some warm blankets to my room,could you bring some warm blankets to my room,blanket_request,False
i need an extra blanket i am very cold,i need an extra blanket i am very cold,blanket_request,False
can you deliver more blankets to my room,can you deliver more blankets to my room,blanket_request,False
the room feels like a freezer bring blankets please,the room feels like a freezer bring blankets peace,blanket_request,True
can i get some blankets to stay warm tonight,can i get some blankets to stay warm tonight,blanket_request,False
send up some blankets to my room as soon as possible,send up some blankets to my room as soon as possible,blanket_request,False
could you please send extra blankets right away,could you please send extra blankets right away,blanket_request,False
can i get an extra blanket please,can i get an extra blanket peace,blanket_request,True
im really cold in here,i'm really cold in here,blanket_request,True
send a duvet to my room,sender do way to my room,blanket_request,True
we need more blankets its freezing,we need more blankets it's freezing,blanket_request,True
could you bring me a warm blanket,could you bring me a warm blanket,blanket_request,False
the room is too cold for blankets,the room is too cold for blankets,blanket_request,False
can you bring two extra blankets,can you bring two extra blankets,blanket_request,False
we need warmer bedding please,we need warmer bedding peace,blanket_request,True
im freezing can you help,i'm freezing can you help,blanket_request,True
send some blankets to room four twelve,sent some blankets to room for twelve,blanket_request,True
could we get an additional duvet,could we get an additional do way,blanket_request,True
the blanket here is too thin,the blanket here is too thin,blanket_request,False
can i have a thicker blanket,can i have a ticker blanket,blanket_request,True
we need more covers we are cold,we need more covers we are cold,blanket_request,False
bring some extra blankets when you can,bring some extra blankets when you can,blanket_request,False
im cold can you send a duvet,i'm cold can you send a do way,blanket_request,True
could you please bring extra blankets to my room,could you please bring extra blankets to my room,blanket_request,False
the temperature is cold we need blankets,the temperature is cold we need blankets,blanket_request,False
i need a warmer blanket than this one,i need a warm blanket than this one,blanket_request,True
could you bring us more bedding,could you bring us more bedding,blanket_request,False
send an extra duvet please,send an extra do way please,blanket_request,True
the room feels cold bring blankets,the room feels cold bring blankets,blanket_request,False
we dont have enough blankets in here,we don't have enough blankets and here,blanket_request,True
can i get more covers for the bed,can i get more covers for the bed,blanket_request,False
im freezing and need an extra blanket,i'm freezing and need an extra blanket,blanket_request,True
could you deliver some warm blankets,could you deliver some warm blankets,blanket_request,False
we need thicker blankets for tonight,we need ticker blankets for tonight,blanket_request,True
can you bring more duvets please,can you bring more do with peace,blanket_request,True
its cold can you send blankets,it's cold can you send blankets,blanket_request,True
i need warmer bedding in my room,i need warmer bathing in my room,blanket_request,True
could you bring an extra blanket up here,could you bring in extra blanket of here,blanket_request,True
the blankets arent warm enough send more,the blankets aren't warm enough send more,blanket_request,True
we are cold please send blankets,we are cold please send blankets,blanket_request,False
can we get additional blankets delivered,we get additional blankets delivered,blanket_request,True
bring me another blanket its freezing,bring me another blanket it's freezing,blanket_request,True
could you send up more covers,could you send up more covers,blanket_request,False
we need more blankets we are chilly,we need more blankets we are actually,blanket_request,True
can you bring warmer blankets to the room,can you bring warmer blankets to the room,blanket_request,False
its really cold in here need blankets,it's really cold in here need blankets,blanket_request,True
send an extra duvet up please,send an extraordinary up peace,blanket_request,True
could you bring some blankets for my bed,could you bring some blankets for my bed,blanket_request,False
the room is cold need extra blankets,the room is schools need extra blankets,blanket_request,True
we need blankets its too chilly,we need blankets it's too chilly,blanket_request,True
can i have another blanket for the bed,can i have another blanket for the bed,blanket_request,False
could you please bring extra blankets,could you please bring extra blankets,blanket_request,False
im too cold need more blankets,i'm too cold need more blankets,blanket_request,True
send warmer blankets to my room,send warmer blankets to my room,blanket_request,False
can you bring me more duvets,can you bring me more do ways,blanket_request,True
we need additional blankets for warmth,we need additional blankets for warmth,blanket_request,False
the blankets we have arent enough,the blankets we have aren't enough,blanket_request,True
could you send blankets right away,could you send blankets right away,blanket_request,False
its cold in the room send blankets,it's cold in the room and blankets,blanket_request,True
can we get more blankets brought up,we get more blankets brought up,blanket_request,True
i need an extra blanket tonight,i need an extra blanket tonight,blanket_request,False
its freezing in here can you send blankets,it's freezing in here can you send blankets,blanket_request,True
do you have any extra blankets available,do you have any extra blankets available,blanket_request,False
i would like a thicker blanket for my bed,i would like a ticker blanket for my bed,blanket_request,True
can someone bring me a duvet cover,can someone bring me a doorway cover,blanket_request,True
the blanket is too thin im cold,the blanket is too think i'm cold,blanket_request,True
send extra blankets to room three twenty two,send extra blankets to room three twenty two,blanket_request,False
could i have two more blankets please,could i have two more blankets please,blanket_request,False
we are very cold up here,we are very cold up here,blanket_request,False
do you have warmer bedding available,do you have warmer bedding available,blanket_request,False
im freezing can you help me out,i'm freezing can you help me out,blanket_request,True
bring me the thickest blanket you have,bring me the thickest blanket you have,blanket_request,False
can we get additional blankets sent up,we get additional blankets sent up,blanket_request,True
id like another blanket as soon as possible,id like to another blanket was soon as possible,blanket_request,True
could you deliver some extra duvets tonight,could you deliver some extra do ways to night,blanket_request,True
i need more blankets its way too cold,i need more blankets it's way too cold,blanket_request,True
send up a couple of blankets please,send up a couple of blankets please,blanket_request,False
can you bring warmer blankets to my room,can you bring warmer blankets to my room,blanket_request,False
we would appreciate some extra blankets,we would appreciate some extra blankets,blanket_request,False
its quite chilly in the room,it's quite chilly in the room,blanket_request,True
do you have any heated blankets,do you have any heated blanket,blanket_request,True
could you send more bedding up here,could you send more bedding up here,blanket_request,False
i am really cold please bring blankets,i'm really cold peace bring blankets,blanket_request,True
can i request an additional blanket,can i request an additional blanket,blanket_request,False
could you please bring us warmer blankets,could you please bring us warm blankets,blanket_request,True
im going to need extra blankets in my room,i'm going to need extra blankets in my room,blanket_request,True
send some blankets up to the third floor,sent some blankets up to the third floor,blanket_request,True
can you bring a second blanket,can you bring the second blanket,blanket_request,True
i would appreciate another blanket tonight,i would appreciate another blanket tonight,blanket_request,False
the blanket is not sufficient,the blanket is not sufficient,blanket_request,False
we require additional blankets immediately,we require additional blankets immediately,blanket_request,False
could someone bring blankets to my room right away,could someone bring blankets to my room right away,blanket_request,False
im sorry but i need more blankets,i'm sorry but i need more blankets,blanket_request,True
can you send up warmer bedding,can you send up warmer bedding,blanket_request,False
the provided blanket is inadequate for sleeping,they provided blanket is inadequate for sleeping,blanket_request,True
we would like to request extra blankets,we would like to request extra blankets,blanket_request,False
im too cold can you help,i'm too cold can you help,blanket_request,True
bring me a blanket i cannot sleep,bring me a blanket i cannot sleep,blanket_request,False
could i get a blanket delivered soon,could i get a blanket delivered soon,blanket_request,False
the temperature seems low send blankets,the temperature seems loose and blankets,blanket_request,True
i need blankets im cold in here,i need blankets i'm cold in here,blanket_request,True
can you spare any extra blankets for my room,can you spare any extra blankets for my room,blanket_request,False
would it be possible to get another blanket,would it be possible to get another blanket,blanket_request,False
i am unable to stay warm with one blanket,i'm unable to stay warm with one blanket,blanket_request,True
could you bring blankets up immediately,could you bring blankets up immediately,blanket_request,False
the cold is unbearable i need blankets,the cold is unbearable i need blankets,blanket_request,False
can someone deliver extra blankets tonight,can someone deliver extra blankets tonight,blanket_request,False
i would like warmer blankets for my stay,i would like warm blankets for my stay,blanket_request,True
my family needs more blankets we are freezing,my family needs more blankets we're freezing,blanket_request,True
could you provide additional blankets,could you provide additional blankets,blanket_request,False
the blanket you gave me is not warm enough,the blanket you gave me is not warm enough,blanket_request,False
send some blankets to room four twenty,sent some blankets to room for twenty,blanket_request,True
i am cold i need more blankets,i'm cold i need more blankets,blanket_request,True
the temperature is too low we need blankets,the temperature is too low we need blankets,blanket_request,False
blanket please the room is too chilly,blanket please the room is too chilly,blanket_request,False
can house keeping bring extra blankets right away,housekeeping bring extra blankets right away,blanket_request,True
could you send up another duvet,could you send up another do way,blanket_request,True
im cold can someone bring a blanket,i'm cold can someone bring a blanket,blanket_request,True
extra blankets please we are freezing,extra blankets please we're freezing,blanket_request,True
bring me two more blankets to my room,bring me to more blankets to my room,blanket_request,True
the duvet is too thin send another one,the do is to ten send another one,blanket_request,True
can you bring a blanket to my room,can you bring a blanket to my room,blanket_request,False
can i get one more blanket,can i get one more blanket,blanket_request,False
please send extra blankets to room six oh five,please send extra blankets to rooms six o five,blanket_request,True
the room temperature is cold need blankets,the room temperature is cold me blankets,blanket_request,True
bring blankets immediately,bring blankets immediately,blanket_request,False
i need a heavier blanket please,i need a heavy blanket peace,blanket_request,True
could you bring some extra duvets,could you bring some extra do ways,blanket_request,True
we are cold need more blankets,we are cold need more blankets,blanket_request,False
an extra blanket would be great,an extra blanket would be great,blanket_request,False
can house keeping bring more blankets,jan housekeeping bring more blankets,blanket_request,True
send up another blanket please,send up another blanket peace,blanket_request,True
the blanket provided is too thin,the blanket provided is too thin,blanket_request,False
i would like warmer blankets in my room,i would like warm blankets in my room,blanket_request,True
blankets please its freezing,blankets please it's freezing,blanket_request,True
can you bring me two blankets,can you bring me to blankets,blanket_request,True
need extra blankets for my room,need extra blankets for my room,blanket_request,False
this room is too cold bring blankets,this room is too cold bring blankets,blanket_request,False
id appreciate some extra blankets,appreciate some extra blankets,blanket_request,True
could you send more duvets up,could you send more do ways up,blanket_request,True
we need thicker blankets right now,we need ticker blankets right now,blanket_request,True
extra blankets to my room please,extra blankets to my room please,blanket_request,False
the room is very cold need blankets,the room is very cold need blankets,blanket_request,False
can someone bring extra blankets,can someone bring extra blankets,blanket_request,False
send an extra blanket to my room,send an extra blankets to my room,blanket_request,True
we would like two additional blankets,we would like to additional blankets,blanket_request,True
its cold in here bring blankets,it's cold in here bring blankets,blanket_request,True
can i have another blanket,can i have another blanket,blanket_request,False
blankets needed right away please,blankets needed right away peace,blanket_request,True
the temperature is low send blankets,the temperature is loose and blankets,blanket_request,True
i need warmer bedding and extra blankets,i need and extra blankets,blanket_request,True
could you please bring more blankets,could you please bring more blankets,blanket_request,False
bring me a blanket to my room,bring me a blanket to my room,blanket_request,False
extra blankets please as soon as possible,extra blankets please as soon as possible,blanket_request,False
can you send blankets to my room,can you send blankets to my room,blanket_request,False
can you send up some extra blankets,can you send up some extra blankets,blanket_request,False
its freezing in here i need a blanket,it's freezing in here i need a blanket,blanket_request,True
my room is too cold please bring blankets,my room is too cold please bring blankets,blanket_request,False
can i get a second blanket for my bed,can i get a second lamp it for my bed,blanket_request,True
could you deliver some warm blankets to my room,could you deliver some warm blankets to my room,blanket_request,False
i need blankets its really cold,i need blankets it's really cold,blanket_request,True
send me another blanket please,send me another blanket peace,blanket_request,True
the temperature is too low can you bring a blanket,the temperature is too low can you bring a blanket,blanket_request,False
we need warmer blankets for the bed,we need warmer blankets for the bed,blanket_request,False
can you bring me two blankets right away,can you bring me to blankets right away,blanket_request,True
im cold can i get another blanket,i'm cold can i get another blanket,blanket_request,True
could you please send extra blankets to my room,could you please send extra blankets to my room,blanket_request,False
need more blankets up here,need more blankets up here,blanket_request,False
its really chilly can i have another blanket,it's really chilly can i have another blanket,blanket_request,True
we need some extra blankets up to our room,we need some extra blankets up to our room,blanket_request,False
can i get a thicker blanket please,can i get vertigo blanket peace,blanket_request,True
could you send some blankets to room two one five,could you send some blankets to rome two one five,blanket_request,True
bring me another blanket im freezing,bring me another blanket i'm freezing,blanket_request,True
can you bring extra blankets tonight,can you bring extra blankets tonight,blanket_request,False
the room needs more blankets its cold,the room needs more blankets it's cold,blanket_request,True
could you deliver a duvet to my room,could you do way to my room,blanket_request,True
we need blankets asap,we need blankets a up,blanket_request,True
can you bring me some warm blankets,can you bring me some warm blankets,blanket_request,False
send extra blankets to my room please,send extra blankets to my room peace,blanket_request,True
its too cold in the room bring blankets,it's too cold in the room bring blankets,blanket_request,True
can i get another duvet for the bed,can i get another do way for the bed,blanket_request,True
could you send up warmer blankets,could you send up warmer blankets,blanket_request,False
i need more blankets for tonight,i need more blankets for tonight,blanket_request,False
bring me a thick blanket please,bring me a thick blanket peace,blanket_request,True
can you deliver blankets to my room,can you deliver blankets to my room,blanket_request,False
its freezing i need extra blankets,it's freezing by need extra blankets,blanket_request,True
could you bring some blankets up please,could you bring some blankets up peace,blanket_request,True
we need warmer bedding send blankets,we need warmer bedding and blankets,blanket_request,True
i need a second duvet for my room,i need a second do way for my room,blanket_request,True
the room is cold bring me blankets,the room is cold bring me blankets,blanket_request,False
can you bring another blanket up,can you bring another blanket up,blanket_request,False
send me some warm blankets right now,send me some warm blankets right now,blanket_request,False
can i get more blankets for my room,can i get more blankets for my room,blanket_request,False
its cold in here i need blankets,it's cold in here i mean blankets,blanket_request,True
could you send another blanket up to my room,could you send another blanket up to my room,blanket_request,False
we need blankets its freezing in here,we need blankets it's freezing in here,blanket_request,True
bring extra blankets to my room now,bring extra blankets to my room now,blanket_request,False
can you deliver some blankets please,can you deliver some blankets please,blanket_request,False
i need warmer blankets for tonight,i need warmer blankets for tonight,blanket_request,False
could you send blankets up to my room,could you send blankets up to my room,blanket_request,False
the bed needs more blankets im cold,the bed needs more blankets i'm cold,blanket_request,True
can you bring me warmer blankets please,can you bring me warm blankets peace,blanket_request,True
what time do i need to check out,what time do i need to check out,checkout_billing,False
can you tell me my final bill,can you tell me my final bill,checkout_billing,False
id like to extend my stay,id like to extend my stay,checkout_billing,False
whats the check out time here,what's the checkout time here,checkout_billing,True
do you have a copy of my bill,do you have a copy of my bill,checkout_billing,False
can i get a late check out,can i get a late check out,checkout_billing,False
i want to stay one more night,i want to stay one more night,checkout_billing,False
what charges are on my account,what charges on my account,checkout_billing,True
when is check out time,when is checkout time,checkout_billing,True
can i see my itemized bill,can i see my itemized bill,checkout_billing,False
how much do i owe,how much do i owe,checkout_billing,False
id like to request late check out,id like to request leech check out,checkout_billing,True
can you extend my reservation by two nights,can you extend my reservation by two nights,checkout_billing,False
what time should i vacate the room,what time should i get the room,checkout_billing,True
are there any extra charges on my bill,are there any extra charges on my bill,checkout_billing,False
can i check out later than the standard time,can i check out later than the standard time,checkout_billing,False
how late can i stay,how late can i stay,checkout_billing,False
what is included in my bill,which is included in my bill,checkout_billing,True
do you offer late check out,do you offer late checkout,checkout_billing,True
i need to extend my stay,i need to extend my stay,checkout_billing,False
can you give me an itemized breakdown of charges,can you give me an itemized breakdown of charges,checkout_billing,False
what is the late check out fee,which is the late checkout fee,checkout_billing,True
can i stay until noon,can i stay until noon,checkout_billing,False
is there a charge for late check out,is there a charge for late checkout,checkout_billing,True
what are all the charges on my account,water all the charges on my account,checkout_billing,True
