text,intent
tap is leaking please,maintenance
i want my room cleaned,room_cleaning
iwant my room cleaned,room_cleaning
don't disturb me,do_not_disturb
do't disturb me,do_not_disturb
don'tdisturb me,do_not_disturb
book taxi to air port please,concierge_taxi
booktaxi to air port please,concierge_taxi
book taxi air port please,concierge_taxi
i would like to request additional pillows,pillow_request
i would like to rquest addtional pillows,pillow_request
i would like to request additional pilos,pillow_request
room service menu,food_order
roomservice menu,food_order
room servic menu,food_order
plumbing problem please,maintenance
plumbing problem pleas,maintenance
plumbingproblem please,maintenance
extend for two days,checkout_billing
extend two days,checkout_billing
exted for two days,checkout_billing
etend for two days,checkout_billing
i need firm pillows,pillow_request
ineed firm pillows,pillow_request
i need firm pilos,pillow_request
can i get ice please,misc_request
can i get ice pls,misc_request
cani get ice please,misc_request
can i get ice pease,misc_request
can i get some tolls,towel_request
can i get some tlls,towel_request
check out please,checkout_billing
check out pleas,checkout_billing
chck out please,checkout_billing
check out pls,checkout_billing
power adapter,misc_request
poweradapter,misc_request
no housekeeping this morning please,do_not_disturb
no housekeeping this morning plase,do_not_disturb
no housekeeping this morning pleas,do_not_disturb
no housekeeping this morning pease,do_not_disturb
comforter needed,blanket_request
can i get an extra blanket,blanket_request
can i get an extra blankit,blanket_request
cani get an extra blanket,blanket_request
may i request late checkout,checkout_billing
may i requst late checkout,checkout_billing
clean room tomorrow morning,room_cleaning
clean room tmorrow morning,room_cleaning
cleanroom tomorrow morning,room_cleaning
wake me up at 7,wake_up_call
wake me up 7,wake_up_call
could you prepare my final bill,checkout_billing
cud you prepare my final bill,checkout_billing
could u prepare my final bill,checkout_billing
culd you prepare my final bill,checkout_billing
extra towels,towel_request
extra towls,towel_request
extratowels,towel_request
i need shampoo,toiletries_request
i need shmpoo,toiletries_request
i want shampoo,toiletries_request
i lost my key,emergency
ilost my key,emergency
send up pillows,pillow_request
send up pilows,pillow_request
send up pilos,pillow_request
can't sleep,noise_complaint
i need the receipt,checkout_billing
i need receipt,checkout_billing
ineed the receipt,checkout_billing
i want breakfast,food_order
iwant breakfast,food_order
i want brekfast,food_order
i need laundry service,laundry_service
i need laundry servic,laundry_service
need laundry service,laundry_service
i want laundry service,laundry_service
clean room and make bed,room_cleaning
cleanroom and make bed,room_cleaning
clen room and make bed,room_cleaning
lost key,emergency
privacy,do_not_disturb
could you please turn on the lights,lighting_control
could you plese turn on the lights,lighting_control
coud you please turn on the lights,lighting_control
could you please turnon the lights,lighting_control
call me a cab,concierge_taxi
call me cab,concierge_taxi
i need house keeping,room_cleaning
i need houe keeping,room_cleaning
need house keeping,room_cleaning
ineed house keeping,room_cleaning
shampoo,toiletries_request
i need help,emergency
i want help,emergency
need help,emergency
tree pillows,pillow_request
treepillows,pillow_request
blanket quickly,blanket_request
blankit quickly,blanket_request
get me a car,concierge_taxi
getme a car,concierge_taxi
get me car,concierge_taxi
privacy for whole day,do_not_disturb
privacyfor whole day,do_not_disturb
where is galle fort,concierge_general
where is gale fort,concierge_general
the shower is broken,maintenance
theshower is broken,maintenance
the shower is brken,maintenance
three soft pillows,pillow_request
threesoft pillows,pillow_request
ac on karanna,temperature_control
acon karanna,temperature_control
warm up the room,temperature_control
warm up room,temperature_control
blanket want,blanket_request
blanketwant,blanket_request
blankit want,blanket_request
shopping malls location,concierge_general
shoppingmalls location,concierge_general
shopping mals location,concierge_general
air conditioner making noise,maintenance
air conditioner makng noise,maintenance
airconditioner making noise,maintenance
can you clean the room,room_cleaning
canyou clean the room,room_cleaning
can you clean room,room_cleaning
need pillows,pillow_request
needpillows,pillow_request
bring me a blanket,blanket_request
bringme a blanket,blanket_request
bring me a blankit,blanket_request
brng me a blankt,blanket_request
toilet paper and tissues,toiletries_request
tolet paper and tissues,toiletries_request
next room loud ah,noise_complaint
nextroom loud ah,noise_complaint
can i order breakfast,food_order
cani order breakfast,food_order
can i ordr breakfst,food_order
i'm checking out,checkout_billing
i'm cheking out,checkout_billing
clean the room fast fast,room_cleaning
cleanthe room fast fast,room_cleaning
clean room fast fast,room_cleaning
clan the room fast fast,room_cleaning
prepare my bill,checkout_billing
tomorrow morning 6 am call,wake_up_call
tomorrowmorning 6 am call,wake_up_call
tomorrw morning 6 am call,wake_up_call
could you bring extra bedding,blanket_request
cud you bring extra bedding,blanket_request
couldyou bring extra bedding,blanket_request
could you bing extra bedding,blanket_request
fix this,maintenance
fixthis,maintenance
call me at 6:15,wake_up_call
callme at 6:15,wake_up_call
laundry pickup thiyanna,laundry_service
laundry pikup thiyanna,laundry_service
landry pickup thiyanna,laundry_service
i need soap,toiletries_request
ineed soap,toiletries_request
i want soap,toiletries_request
extra blanket,blanket_request
extra blankit,blanket_request
no hot water,maintenance
no hot watr,maintenance
two more pillows,pillow_request
twomore pillows,pillow_request
breathing problem,emergency
cleaning want now,room_cleaning
cleaningwant now,room_cleaning
clening want now,room_cleaning
i want laundry servic,laundry_service
i want landry servce,laundry_service
do not disturb,do_not_disturb
do not distub,do_not_disturb
donot disturb,do_not_disturb
i need transport,concierge_taxi
need transport,concierge_taxi
ineed transport,concierge_taxi
i want transport,concierge_taxi
towels want,towel_request
towelswant,towel_request
towls want,towel_request
when does the pool close,concierge_general
when does pool close,concierge_general
whendoes the pool close,concierge_general
i'm leaving,checkout_billing
i'mleaving,checkout_billing
no housekeeping this morning,do_not_disturb
no houskeeping this morning,do_not_disturb
fire alarm,emergency
firealarm,emergency
food,food_order
bring me a burger and fries,food_order
get me a burger and fries,food_order
bing me a burger and fries,food_order
dry cleaning needed,laundry_service
injury need help,emergency
inury need help,emergency
cab,concierge_taxi
i need toilet paper,toiletries_request
i want toilet paper,toiletries_request
i need toiet paper,toiletries_request
checkout karanna ona please,checkout_billing
checkout karanna ona pleez,checkout_billing
checkout karanna ona pls,checkout_billing
restaurants nearby,concierge_general
restaurantsnearby,concierge_general
light not working,maintenance
lightnot working,maintenance
lght not working,maintenance
light problem ah,maintenance
lightproblem ah,maintenance
blanket,blanket_request
blankit,blanket_request
tv is broken,maintenance
towels thiyanna,towel_request
towls thiyanna,towel_request
cold drinks,food_order
wake up call,wake_up_call
iron and ironing board,misc_request
make it cooler,temperature_control
its too noisy,noise_complaint
itstoo noisy,noise_complaint
charger,misc_request
do not disturb karanna,do_not_disturb
donot disturb karanna,do_not_disturb
can i get shampoo,toiletries_request
cani get shampoo,toiletries_request
can send breakfast,food_order
cansend breakfast,food_order
three or four towels,towel_request
three or four toels,towel_request
threeor four towels,towel_request
some extra towels,towel_request
someextra towels,towel_request
soap please,toiletries_request
soapplease,toiletries_request
soap pleez,toiletries_request
taxi now,concierge_taxi
taxinow,concierge_taxi
wool blanket,blanket_request
wool blankit,blanket_request
woolblanket,blanket_request
gas leak,emergency
key lose kara,emergency
keylose kara,emergency
dim the lights,lighting_control
dimthe lights,lighting_control
i would like directions to local attractions,concierge_general
i would lik directions to local attractions,concierge_general
i wold like directions to local attrations,concierge_general
i would like directions local attractions,concierge_general
light nut working,maintenance
light nut workig,maintenance
lightnut working,maintenance
dinner ekak ona please,food_order
dinner ekak ona plese,food_order
dinner ekak ona pls,food_order
i want to towels,towel_request
i want to towls,towel_request
i want to towes,towel_request
people are being loud,noise_complaint
peopleare being loud,noise_complaint
soft pillows want ah,pillow_request
soft pilows want ah,pillow_request
softpillows want ah,pillow_request
bill ekak ona,checkout_billing
billekak ona,checkout_billing
wash and iron please,laundry_service
wash and iron pls,laundry_service
wash and iron pleas,laundry_service
i need privacy,do_not_disturb
need privacy,do_not_disturb
i want privacy,do_not_disturb
i can't sleep noise,noise_complaint
ican't sleep noise,noise_complaint
turn off ceiling light please,lighting_control
turn off ceiling light pls,lighting_control
turn off ceiling light pleas,lighting_control
hangers ona,misc_request
pillows want,pillow_request
pillowswant,pillow_request
privacy thiyanna,do_not_disturb
bring toilet paper,toiletries_request
bringtoilet paper,toiletries_request
mineral water,food_order
mineralwater,food_order
warm duvet,blanket_request
warmduvet,blanket_request
rome service please,food_order
rome servic please,food_order
rome service pls,food_order
rome service pleez,food_order
housekeeping now,room_cleaning
housekeepingnow,room_cleaning
loud at midnight,noise_complaint
taxi to airport,concierge_taxi
taxito airport,concierge_taxi
leaving,checkout_billing
morning call thiyanna,wake_up_call
morningcall thiyanna,wake_up_call
morning call thiynna,wake_up_call
it's too hot,temperature_control
moisturizer needed,toiletries_request
moisturizerneeded,toiletries_request
full laundry bag,laundry_service
fulllaundry bag,laundry_service
doctor want fast,emergency
doctorwant fast,emergency
temperature adjust karanna,temperature_control
temperatureadjust karanna,temperature_control
temp adjust karanna,temperature_control
temprature adjust karanna,temperature_control
could i order a sandwich,food_order
couldi order a sandwich,food_order
could i order sandwich,food_order
wake me at seven,wake_up_call
wakeme at seven,wake_up_call
wake me seven,wake_up_call
emergency,emergency
emergancy,emergency
its too noisy please,noise_complaint
its too noisy pleas,noise_complaint
its too noisy pease,noise_complaint
few towels needed,towel_request
few towls needed,towel_request
few towes needed,towel_request
press shirt,laundry_service
tv not working send someone please,maintenance
tvnot working send someone please,maintenance
tv not working send someone pleez,maintenance
tv not woring send somone plase,maintenance
i'm hangry,food_order
hand wash needed,laundry_service
handwash needed,laundry_service
main light on,lighting_control
mainlight on,lighting_control
6 am call,wake_up_call
6am call,wake_up_call
more pillows,pillow_request
morepillows,pillow_request
i'd like coffee,food_order
i'dlike coffee,food_order
return by evening,laundry_service
returnby evening,laundry_service
tourist places koheda,concierge_general
turist paces koheda,concierge_general
touristplaces koheda,concierge_general
too noisy,noise_complaint
what are the attractions,concierge_general
whatare the attractions,concierge_general
morning call please,wake_up_call
morning call pleas,wake_up_call
morning call pleez,wake_up_call
morning call plase,wake_up_call
heavy blanket please,blanket_request
heay blankt please,blanket_request
heavyblanket please,blanket_request
heavy blanket pleas,blanket_request
i need more towels,towel_request
i need more towls,towel_request
i want more towels,towel_request
ineed more towels,towel_request
shower ekka problem,maintenance
shwer ekka poblem,maintenance
showerekka problem,maintenance
soft pillows,pillow_request
softpillows,pillow_request
full room cleaning please,room_cleaning
fullroom cleaning please,room_cleaning
full room cleaning pleez,room_cleaning
full room cleaning plase,room_cleaning
local market where,concierge_general
lcal market where,concierge_general
localmarket where,concierge_general
pickup laundry,laundry_service
pickuplaundry,laundry_service
fix karanna ona,maintenance
noisy guests,noise_complaint
noisyguests,noise_complaint
bring me dinner,food_order
bring dinner,food_order
brng me diner,food_order
get me dinner,food_order
repair needed,maintenance
alarm 8,wake_up_call
wake me at 7 am,wake_up_call
wakeme at 7 am,wake_up_call
wake me 7 am,wake_up_call
emergency maintenance,maintenance
emergency maintanance,maintenance
emergancy maintenance,maintenance
hand sanitizer,toiletries_request
air conditioned taxi,concierge_taxi
airconditioned taxi,concierge_taxi
heating too high lower it,temperature_control
heatingtoo high lower it,temperature_control
heaing too high loer it,temperature_control
pickup laundry please,laundry_service
pickup landry please,laundry_service
pickup laundry pleas,laundry_service
pickup laundry pleez,laundry_service
razors please,toiletries_request
razors pleez,toiletries_request
razors pleas,toiletries_request
ironing board please,misc_request
ironing board pleas,misc_request
ironing board pleez,misc_request
i need another blanket,blanket_request
need another blanket,blanket_request
ineed another blanket,blanket_request
i need another blankit,blanket_request
i need an iron,misc_request
need an iron,misc_request
ineed an iron,misc_request
hot,temperature_control
can i get more pillows,pillow_request
cani get more pillows,pillow_request
can i get more pilos,pillow_request
could you send up the menu,food_order
cud you send up the menu,food_order
couldyou send up the menu,food_order
could you send up menu,food_order
face wash please,toiletries_request
face wash plese,toiletries_request
facewash please,toiletries_request
i'm hungry,food_order
noise,noise_complaint
orange juice,food_order
orangejuice,food_order
iron clothes,laundry_service
it's too warm,temperature_control
i want food,food_order
iwant food,food_order
i need soap and shampoo,toiletries_request
need soap and shampoo,toiletries_request
i want soap and shampoo,toiletries_request
i need soap and shamoo,toiletries_request
brighten the room,lighting_control
noise complaint,noise_complaint
i would like to request an additional blanket,blanket_request
iwould like to request an additional blanket,blanket_request
i would like to request an additional blankit,blanket_request
i woud like to requet an additional blanket,blanket_request
magazines,misc_request
7:45 wake up call,wake_up_call
fridge not cooling,maintenance
fridge not coolig,maintenance
fidge not cooling,maintenance
what time is breakfast,concierge_general
whattime is breakfast,concierge_general
cab to colombo,concierge_taxi
cabto colombo,concierge_taxi
i want another pillow,pillow_request
iwant another pillow,pillow_request
i want anothr pllow,pillow_request
i want another pilo,pillow_request
wet wipes,toiletries_request
dim lights,lighting_control
noise next door,noise_complaint
nose next door,noise_complaint
noisenext door,noise_complaint
clean the rome please,room_cleaning
clean the rome pls,room_cleaning
clean the rome pleas,room_cleaning
clan the rome please,room_cleaning
towel ekak ona,towel_request
towl ekak ona,towel_request
twel ekak ona,towel_request
footsteps above,noise_complaint
party noise above,noise_complaint
could you please call my room at 7 am,wake_up_call
could you pleas call my room at 7 am,wake_up_call
could you pleez call my room at 7 am,wake_up_call
please send help immediately,emergency
pls send help immediately,emergency
pleasesend help immediately,emergency
same day service,laundry_service
sameday service,laundry_service
same day servic,laundry_service
wash and iron,laundry_service
washand iron,laundry_service
please make room clean,room_cleaning
please make room cean,room_cleaning
pleez make room clean,room_cleaning
pleasemake room clean,room_cleaning
brighter,lighting_control
could i get ice,misc_request
couldi get ice,misc_request
coud i get ice,misc_request
culd i get ice,misc_request
i'd like to eat,food_order
i'dlike to eat,food_order
two three towels send,towel_request
twothree towels send,towel_request
morning 7 call me,wake_up_call
moring 7 call me,wake_up_call
express checkout,checkout_billing
cold feeling need warm,temperature_control
i need a doctor,emergency
need a doctor,emergency
ineed a doctor,emergency
snorkeling tour,concierge_general
broken ac,maintenance
darker,lighting_control
no cleaning please,do_not_disturb
nocleaning please,do_not_disturb
no cleaning pleez,do_not_disturb
no cleaning pls,do_not_disturb
don't disturb ah,do_not_disturb
don'tdisturb ah,do_not_disturb
lights off,lighting_control
no service today please,do_not_disturb
no service today pls,do_not_disturb
no servic today please,do_not_disturb
lower temperature please,temperature_control
lower temperature pleas,temperature_control
lower temperature pleez,temperature_control
lower temperature pls,temperature_control
morning call at 6,wake_up_call
morningcall at 6,wake_up_call
night light please,lighting_control
nigt light pleae,lighting_control
night light pleez,lighting_control
night light pls,lighting_control
for towels please,towel_request
fortowels please,towel_request
for towls please,towel_request
for towels plase,towel_request
large car needed,concierge_taxi
lare car needed,concierge_taxi
more hangers please,misc_request
morehangers please,misc_request
more hangers pls,misc_request
leave alone,do_not_disturb
i would like to check out,checkout_billing
i wud like to check out,checkout_billing
i would lik to check out,checkout_billing
i would like check out,checkout_billing
adjust temperature,temperature_control
adjusttemperature,temperature_control
adjust temprature,temperature_control
adjust temp,temperature_control
i need tourist information,concierge_general
i want tourist information,concierge_general
i need touist iformation,concierge_general
good seafood restaurants,concierge_general
goodseafood restaurants,concierge_general
good sefood restaurants,concierge_general
dress press karanna ona,laundry_service
dres press karanna ona,laundry_service
dress prss karanna ona,laundry_service
i won't get my room cleaned,room_cleaning
iwon't get my room cleaned,room_cleaning
beach directions,concierge_general
beachdirections,concierge_general
press my clothes,laundry_service
pressmy clothes,laundry_service
3 am noise complaint,noise_complaint
3 am noise comlaint,noise_complaint
3am noise complaint,noise_complaint
don't come in no,do_not_disturb
don'tcome in no,do_not_disturb
i need shampoo please,toiletries_request
i want shampoo please,toiletries_request
i need shampo please,toiletries_request
reading light on,lighting_control
readinglight on,lighting_control
reaing light on,lighting_control
i need two tells,towel_request
i want two tells,towel_request
ineed two tells,towel_request
toothbrush and toothpaste please,toiletries_request
toothbrush and toothpaste pleez,toiletries_request
toothbrush and toothpaste pls,toiletries_request
toothbrush and toothpaste pleas,toiletries_request
full brightness please,lighting_control
full brightness pls,lighting_control
full brightness pleas,lighting_control
lost room key,emergency
lamp on,lighting_control
i need food,food_order
need food,food_order
ineed food,food_order
clean my room later,room_cleaning
to more pillows,pillow_request
tomore pillows,pillow_request
return by evening please,laundry_service
return by evening pleae,laundry_service
returnby evening please,laundry_service
return by evening pleez,laundry_service
breakfast in bed,food_order
breakfastin bed,food_order
brakfast in bed,food_order
more blankets please,blanket_request
more blnkets please,blanket_request
more blankits please,blanket_request
more blankets pleas,blanket_request
tomorrow 8 am alarm,wake_up_call
towels please,towel_request
towels pls,towel_request
towelsplease,towel_request
could you please bring extra towels,towel_request
could you pleez bring extra towels,towel_request
could you please brig extra towels,towel_request
could you please bring extra towls,towel_request
can i get toilet paper,toiletries_request
can i get tilet paper,toiletries_request
can i get toilet papr,toiletries_request
cani get toilet paper,toiletries_request
i need extra pillows,pillow_request
i need extra pilos,pillow_request
ineed extra pillows,pillow_request
i need extra pillos,pillow_request
bring me an iron,misc_request
bring me iron,misc_request
get me an iron,misc_request
bringme an iron,misc_request
wake me up at sex,wake_up_call
wakeme up at sex,wake_up_call
turn on ac and make it cold,temperature_control
turnon ac and make it cold,temperature_control
i would like to request laundry service,laundry_service
i would like to request laundry servis,laundry_service
i would lik to request laundry service,laundry_service
i wud like to request laundry service,laundry_service
bathroom light on,lighting_control
bathroomlight on,lighting_control
i want my room clean,room_cleaning
i want my room clen,room_cleaning
lights on,lighting_control
must clean room today itself,room_cleaning
must clean room today itelf,room_cleaning
must clean room tday itelf,room_cleaning
i need a blanket,blanket_request
i need blanket,blanket_request
i need a banket,blanket_request
need a blanket,blanket_request
toothbrush send no,toiletries_request
toothbrushsend no,toiletries_request
toothbush send no,toiletries_request
can call taxi,concierge_taxi
uber,concierge_taxi
where is gym no,concierge_general
i want a razor,toiletries_request
iwant a razor,toiletries_request
i want razor,toiletries_request
arrange a taxi,concierge_taxi
arrangea taxi,concierge_taxi
range a taxi,concierge_taxi
broken tv,maintenance
need repair,maintenance
needrepair,maintenance
i need fresh towels,towel_request
i need fresh towls,towel_request
i need fresh twels,towel_request
i need ice,misc_request
need ice,misc_request
ineed ice,misc_request
room service,food_order
roomservice,food_order
room servic,food_order
i need one pillow,pillow_request
ineed one pillow,pillow_request
i need one pllow,pillow_request
can someone clean my room,room_cleaning
can someone cean my room,room_cleaning
shouting neighbors,noise_complaint
taxi want,concierge_taxi
taxiwant,concierge_taxi
i'm cold need a blanket,blanket_request
i'm cold need a blanet,blanket_request
i'mcold need a blanket,blanket_request
i'm cold need a blankit,blanket_request
can you clean the rome,room_cleaning
can you clean rome,room_cleaning
can you cean the rome,room_cleaning
can u clean the rome,room_cleaning
i would like to report a noise disturbance,noise_complaint
i would like report noise disturbance,noise_complaint
i would lik to report a noise disturbance,noise_complaint
i wud like to report a noise disturbance,noise_complaint
thick blanket,blanket_request
thickblanket,blanket_request
can i checkout late,checkout_billing
cani checkout late,checkout_billing
can i ceckout late,checkout_billing
hungry no can you send food,food_order
hungry no canu send food,food_order
hungy no can you send food,food_order
may i request urgent repair service,maintenance
may i request urgent repair servic,maintenance
mayi request urgent repair service,maintenance
may i requet urgent repair service,maintenance
temperature,temperature_control
temp,temperature_control
business center location,concierge_general
turn on the lights,lighting_control
turnon the lights,lighting_control
loud music,noise_complaint
two three pillows,pillow_request
two three pilos,pillow_request
two three pllows,pillow_request
extra pillows,pillow_request
extra pilos,pillow_request
i'm starving,food_order
bathroom items want,toiletries_request
bathroomitems want,toiletries_request
need blanket,blanket_request
needblanket,blanket_request
need blankit,blanket_request
may i have additional hangers,misc_request
mayi have additional hangers,misc_request
i want to get my room cleaned,room_cleaning
i want get my room cleaned,room_cleaning
delicate wash,laundry_service
fast billing,checkout_billing
fastbilling,checkout_billing
may i request brighter lighting,lighting_control
mayi request brighter lighting,lighting_control
sent housekeeping,room_cleaning
conference room booking,concierge_general
conferenceroom booking,concierge_general
confeence room boking,concierge_general
bathroom light flickering,maintenance
bathroomlight flickering,maintenance
bathrom lght flicering,maintenance
bathrom light flckering,maintenance
pick up laundry please,laundry_service
pick up laundry pleas,laundry_service
pick up laundry pls,laundry_service
newspaper,misc_request
toilet paper,toiletries_request
toiletpaper,toiletries_request
dry clean suit,laundry_service
dryclean suit,laundry_service
charger and adapter,misc_request
carger and adapter,misc_request
chargerand adapter,misc_request
need soap,toiletries_request
needsoap,toiletries_request
toilet flush naha,maintenance
tolet fluh naha,maintenance
i need a hairdryer,misc_request
ineed a hairdryer,misc_request
i need hairdryer,misc_request
could you arrange laundry pickup,laundry_service
could you arrange laundry pckup,laundry_service
could you range laundry pickup,laundry_service
fresh towels want no please,towel_request
fresh towls want no please,towel_request
freshtowels want no please,towel_request
please clean my room,room_cleaning
please clan my room,room_cleaning
pleas clean my room,room_cleaning
pleaseclean my room,room_cleaning
coffee,food_order
loud neighbors,noise_complaint
loudneighbors,noise_complaint
pick up laundry at 10 am,laundry_service
pickup laundry at 10 am,laundry_service
pick up lundry at 10 am,laundry_service
key card not working,emergency
this is an emergency situation,emergency
this is emergency situation,emergency
thisis an emergency situation,emergency
this is an emergency situaion,emergency
i need ac,temperature_control
i want ac,temperature_control
ineed ac,temperature_control
i can't sleep noise please,noise_complaint
i can't sleep noise pleez,noise_complaint
i can't seep nose plese,noise_complaint
ican't sleep noise please,noise_complaint
i would like to book a taxi,concierge_taxi
i would lik to book a taxi,concierge_taxi
iwould like to book a taxi,concierge_taxi
set alarm for 8 am,wake_up_call
set alarm 8 am,wake_up_call
set aarm for 8 am,wake_up_call
setalarm for 8 am,wake_up_call
broken window urgent,maintenance
brokenwindow urgent,maintenance
brokn window urgent,maintenance
i need two brush,toiletries_request
ineed two brush,toiletries_request
need two brush,toiletries_request
i need two brsh,toiletries_request
i would like privacy please,do_not_disturb
i would like privacy pleez,do_not_disturb
iwould like privacy please,do_not_disturb
i need a taxi,concierge_taxi
i want a taxi,concierge_taxi
need a taxi,concierge_taxi
ineed a taxi,concierge_taxi
tv volume too high,noise_complaint
tvvolume too high,noise_complaint
do not disturb please,do_not_disturb
do not disturb pleas,do_not_disturb
do not disturb pls,do_not_disturb
do not disturb pease,do_not_disturb
leave me alone,do_not_disturb
leaveme alone,do_not_disturb
another day please,checkout_billing
another day pls,checkout_billing
anotherday please,checkout_billing
another day pleae,checkout_billing
no electricity in room,maintenance
no electricity room,maintenance
noelectricity in room,maintenance
toilet paper finish no,toiletries_request
toilet paer finish no,toiletries_request
i want soup,toiletries_request
i would like to request an iron,misc_request
i wud like to request an iron,misc_request
iwould like to request an iron,misc_request
i would like request iron,misc_request
i need a toothbrush,toiletries_request
need a toothbrush,toiletries_request
ineed a toothbrush,toiletries_request
turn on ac,temperature_control
turn ac,temperature_control
full laundry bag please,laundry_service
full laundry bag pls,laundry_service
fulllaundry bag please,laundry_service
full laundry bag plase,laundry_service
morning call,wake_up_call
ice,misc_request
breakfast send no,food_order
breakfastsend no,food_order
not working,maintenance
notworking,maintenance
i want ice,misc_request
several towels please,towel_request
several towels pleas,towel_request
several towes please,towel_request
several towels pleez,towel_request
extra firm pillows,pillow_request
extra firm pilos,pillow_request
extrafirm pillows,pillow_request
extra firm pllows,pillow_request
four towels please,towel_request
four towels pease,towel_request
four towels pls,towel_request
fourtowels please,towel_request
more towels,towel_request
more towls,towel_request
wake me 7,wake_up_call
wakeme 7,wake_up_call
room clean karanna,room_cleaning
roomclean karanna,room_cleaning
don't come in no please,do_not_disturb
don't come in no pleez,do_not_disturb
don't come in no pls,do_not_disturb
don'tcome in no please,do_not_disturb
set ac to 18,temperature_control
setac to 18,temperature_control
set ac 18,temperature_control
i need another pillow,pillow_request
need another pillow,pillow_request
i need another pilow,pillow_request
ineed another pillow,pillow_request
i want the receipt,checkout_billing
i want the recipt,checkout_billing
iwant the receipt,checkout_billing
i want receipt,checkout_billing
may i request no housekeeping service today,do_not_disturb
may i request no houekeeping service today,do_not_disturb
may i request no housekeeping servic today,do_not_disturb
warmer,temperature_control
bring me pizza,food_order
bring pizza,food_order
bringme pizza,food_order
pickme please,concierge_taxi
pickmeplease,concierge_taxi
pickme pleas,concierge_taxi
toothbrush,toiletries_request
can i get toothpaste please,toiletries_request
can i get toothpaste pls,toiletries_request
cani get toothpaste please,toiletries_request
can i get toohpaste please,toiletries_request
taxi please,concierge_taxi
taxi pls,concierge_taxi
taxiplease,concierge_taxi
late night party,noise_complaint
room needs cleaning,room_cleaning
room neds cleaning,room_cleaning
i need a hair dryer,misc_request
ineed a hair dryer,misc_request
i want a hair dryer,misc_request
clean my room now,room_cleaning
clen my room now,room_cleaning
cleanmy room now,room_cleaning
clan my room now,room_cleaning
slippers,misc_request
theft report,emergency
please send soap ah,toiletries_request
pleez send soap ah,toiletries_request
pls send soap ah,toiletries_request
pleasesend soap ah,toiletries_request
may i have my clothes pressed,laundry_service
mayi have my clothes pressed,laundry_service
may i have my clothes presed,laundry_service
turn down the heat please,temperature_control
turn down the heat pleez,temperature_control
turn down the heat pleas,temperature_control
turn down heat please,temperature_control
breakfast time,concierge_general
breakfasttime,concierge_general
bill please,checkout_billing
bill pleez,checkout_billing
bill pls,checkout_billing
